conference,team,games_checked,games_used,games_rejected,strict_possessions,strict_ortg,strict_drtg,strict_net,bpm_team_target,obpm_team_target,team_bpm_adjustment,team_obpm_adjustment,reject_reasons
WSC South,Bakersfield,28,21,7,1610.1,97.1,88.3,8.9,3.55,-0.59,-4.031,-4.343,"{'incomplete_minutes_total': 6, 'incomplete_player_box': 1}"
Pacific Coast Athletic,Palomar,29,20,9,1536.0,102.2,92.0,10.2,4.06,1.41,-3.796,-2.689,"{'score_total_mismatch': 2, 'incomplete_minutes_total': 7}"
WSC North,Cuesta,28,20,8,1445.6,100.4,102.8,-2.4,-0.97,0.7,-7.701,-3.113,"{'incomplete_minutes_total': 7, 'score_total_mismatch': 1}"
WSC North,Ventura,29,20,9,1522.2,100.8,91.4,9.5,3.78,0.89,-2.283,-2.027,"{'team_missing_from_box': 1, 'incomplete_minutes_total': 6, 'score_total_mismatch': 2}"
WSC South,Canyons,26,20,6,1533.0,96.3,103.8,-7.5,-3.0,-0.91,-9.315,-4.182,"{'incomplete_minutes_total': 2, 'team_missing_from_box': 2, 'incomplete_player_box': 1, 'score_total_mismatch': 1}"
Central Valley,Sequoias,30,19,11,1501.3,103.8,87.6,16.3,6.5,2.09,-2.825,-3.181,"{'incomplete_minutes_total': 10, 'score_total_mismatch': 1}"
Inland Empire Athletic,Chaffey,29,19,10,1366.6,108.4,92.8,15.6,6.23,3.9,-2.62,-1.23,"{'incomplete_minutes_total': 5, 'team_missing_from_box': 4, 'incomplete_player_box': 1}"
Orange Empire Athletic,Riverside,29,19,10,1328.8,102.0,93.4,8.6,3.43,1.34,-3.77,-2.689,"{'team_missing_from_box': 9, 'incomplete_minutes_total': 1}"
Pacific Coast Athletic,Southwestern,29,19,10,1521.7,106.7,80.4,26.4,10.54,3.24,1.647,-1.221,"{'incomplete_minutes_total': 8, 'incomplete_player_box': 2}"
South Coast-North,Pasadena City,28,19,9,1525.2,97.5,93.3,4.2,1.68,-0.45,-5.534,-3.532,"{'team_missing_from_box': 2, 'incomplete_minutes_total': 5, 'incomplete_player_box': 2}"
Inland Empire Athletic,Desert,28,18,10,1397.1,104.1,101.5,2.6,1.06,2.21,-8.907,-3.743,"{'incomplete_minutes_total': 6, 'team_missing_from_box': 3, 'incomplete_player_box': 1}"
Pacific Coast Athletic,Grossmont,28,18,10,1428.8,87.8,109.9,-22.0,-8.82,-4.32,-13.474,-6.277,"{'score_total_mismatch': 1, 'incomplete_minutes_total': 9}"
South Coast-South,LA Southwest,28,18,10,1409.0,94.3,94.0,0.3,0.11,-1.75,-5.678,-4.471,"{'incomplete_minutes_total': 9, 'team_missing_from_box': 1}"
South Coast-South,Long Beach,28,18,10,1437.3,109.0,94.2,14.8,5.93,4.16,-1.367,0.597,"{'incomplete_minutes_total': 8, 'team_missing_from_box': 2}"
WSC North,Moorpark,28,18,10,1346.3,111.0,104.2,6.8,2.7,4.94,-5.177,0.324,{'incomplete_minutes_total': 10}
South Coast-North,LA Trade Tech,28,17,11,1410.6,101.2,102.1,-0.9,-0.34,1.04,-7.237,-2.356,"{'incomplete_minutes_total': 9, 'score_total_mismatch': 1, 'team_missing_from_box': 1}"
South Coast-North,Mt. San Antonio,27,17,10,1289.8,94.2,105.8,-11.6,-4.62,-1.77,-9.411,-4.065,"{'incomplete_minutes_total': 7, 'team_missing_from_box': 3}"
South Coast-North,East Los Angeles,30,16,14,1251.0,112.8,93.3,19.5,7.8,5.67,0.098,1.883,"{'incomplete_minutes_total': 8, 'incomplete_player_box': 1, 'score_total_mismatch': 2, 'team_missing_from_box': 3}"
