Moorpark College — 29 Games — All Athletes — Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#2 A.B. / #5 T.S. / #24 A.G. / #30 C.S. / #31 N.C.,0,62.50%,7.40%,33.30%,75.00%,0.08,1.47,0,7,12,58.30%,62.50%,0,6,7,85.70%,0,1,5,20.00%,0,0,1,0.00%,0,15,13,1.42,7.5,+ 2,6,0,4,5,0,10,0,2,33.30%,3,75.00%,5,0,3,1,3,7.40%,0,1,0.00%,0,0,-,0,0,0,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #24 A.G.,0,40.00%,14.90%,50.00%,75.00%,0.3,1.09,0,4,10,40.00%,40.00%,0,4,9,44.40%,0,0,1,0.00%,0,3,3,100.00%,0,11,11,0.98,5.5,0,5,0,0,0,2,2,0,2,50.00%,3,75.00%,5,0,3,2,1.5,14.90%,0,0,-,0,3,66.70%,1.33,0,2,0,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #2 A.B. / #3 E.K. / #4 M.S. / #31 N.C.,0,28.60%,26.30%,0.00%,20.00%,0.43,0.4,0,2,7,28.60%,28.60%,0,2,4,50.00%,0,0,3,0.00%,0,3,3,100.00%,0,7,16,0.48,2.3,-9,5,0,2,2,0,2,0,0,0.00%,1,20.00%,1,0,1,3,0.33,26.30%,0,0,-,0,2,50.00%,1,0,1,1,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #14 J.Z.,0,66.70%,36.50%,50.00%,44.40%,0.33,1.64,0,4,6,66.70%,66.70%,0,4,4,100.00%,0,0,2,0.00%,0,2,2,100.00%,0,10,4,1.45,5,+ 6,5,0,2,2,2,8,0,1,50.00%,4,44.40%,5,0,1,4,0.25,36.50%,0,1,0.00%,0,0,-,0,0,2,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #2 A.B. / #24 A.G. / #30 C.S. / #31 N.C.,0,83.30%,23.60%,0.00%,50.00%,0.17,1.31,0,4,6,66.70%,83.30%,0,2,3,66.70%,0,2,3,66.70%,0,1,1,100.00%,0,11,8,1.3,11,+ 3,5,0,2,6,0,2,0,0,0.00%,2,50.00%,2,0,2,2,1,23.60%,0,0,-,0,2,50.00%,1.5,0,3,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #4 M.S. / #5 T.S. / #22 R.F.,0,35.70%,34.90%,60.00%,75.00%,0.14,0.67,0,2,7,28.60%,35.70%,0,1,1,100.00%,0,1,6,16.70%,0,1,1,100.00%,0,6,10,0.74,2,-4,5,0,0,0,0,2,0,3,60.00%,3,75.00%,6,0,1,4,0.25,34.90%,0,0,-,0,1,100.00%,3,0,1,0,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #4 M.S. / #11 E.E. / #24 A.G.,0,43.80%,17.50%,33.30%,66.70%,0.38,0.7,0,3,8,37.50%,43.80%,0,2,6,33.30%,0,1,2,50.00%,0,1,3,33.30%,0,8,13,0.85,8,-5,5,0,2,2,0,2,0,2,33.30%,2,66.70%,4,0,1,2,0.5,17.50%,0,0,-,0,1,0.00%,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #4 M.S. / #14 J.Z. / #22 R.F.,0,37.50%,14.50%,16.70%,83.30%,1,1.32,0,3,8,37.50%,37.50%,0,3,6,50.00%,0,0,2,0.00%,0,7,8,87.50%,0,13,10,1.02,6.5,+ 3,5,0,0,2,0,6,0,1,16.70%,5,83.30%,6,0,1,2,0.5,14.50%,0,2,50.00%,1,0,-,0,0,3,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #4 M.S. / #20 J.F. / #24 A.G.,0,31.30%,19.10%,16.70%,40.00%,0.13,0.54,0,2,8,25.00%,31.30%,0,1,6,16.70%,0,1,2,50.00%,0,1,1,100.00%,0,6,10,1.33,3,-4,5,0,3,0,2,2,0,1,16.70%,2,40.00%,3,0,1,2,0.5,19.10%,0,0,-,0,1,100.00%,2,0,1,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #5 T.S. / #12 D.B. / #31 N.C.,0,90.00%,0.00%,0.00%,100.00%,0.1,3.89,0,7,10,70.00%,90.00%,0,3,3,100.00%,0,4,7,57.10%,0,0,1,0.00%,0,18,2,1.72,18,+ 16,5,0,4,7,0,6,0,0,0.00%,5,100.00%,5,0,5,0,0,0.00%,0,0,-,0,1,0.00%,0,0,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #20 J.F. / #22 R.F. / #24 A.G.,0,83.30%,0.00%,0.00%,25.00%,1.17,1.71,0,4,6,66.70%,83.30%,0,2,3,66.70%,0,2,3,66.70%,0,5,7,71.40%,0,15,15,1.61,15,0,5,0,3,3,0,4,0,0,0.00%,1,25.00%,1,0,3,0,0,0.00%,0,0,-,0,0,-,0,0,2,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #22 R.F. / #30 C.S. / #31 N.C.,0,25.00%,5.90%,46.20%,57.10%,0,1,0,3,16,18.80%,25.00%,0,1,8,12.50%,0,2,8,25.00%,0,0,0,-,0,8,8,0.75,4,0,5,0,0,2,0,2,0,6,46.20%,4,57.10%,10,0,3,1,3,5.90%,0,0,-,0,1,0.00%,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #5 T.S. / #11 E.E. / #20 J.F. / #22 R.F.,0,12.50%,9.60%,42.90%,80.00%,0.38,0.48,0,1,8,12.50%,12.50%,0,1,3,33.30%,0,0,5,0.00%,0,2,3,66.70%,0,4,6,0.54,4,-2,5,0,0,0,4,2,0,3,42.90%,4,80.00%,7,0,0,1,0,9.60%,0,0,-,0,0,-,0,0,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
