date,opponent,venue,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-01,LA Valley,Home,41,made_fg,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,1,1,,,,,,,,2,
2025-11-01,LA Valley,Home,42,made_ft,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,,,,,,,,,,2,
2025-11-01,LA Valley,Home,42,made_ft,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,foul,,,,,,,shooting,,1,1,,1,
2025-11-01,LA Valley,Home,43,made_fg,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,foul,,,,,,,nonshoot,,,,,0,
2025-11-01,LA Valley,Home,43,made_fg,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,deflection,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,43,made_fg,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,foul,,,,,,,nonshoot,,,,,0,
2025-11-01,LA Valley,Home,43,made_fg,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,foul,,,,,,,nonshoot,,,,,0,
2025-11-01,LA Valley,Home,43,made_fg,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,,,,,,,,,,2,
2025-11-01,LA Valley,Home,44,steal,2,16:50,61,42,19,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,45,dreb,2,16:50,61,42,19,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,45,dreb,2,16:50,61,42,19,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,46,dreb,2,16:50,61,42,19,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,46,dreb,2,16:50,61,42,19,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,47,made_fg,2,16:50,61,42,19,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,47,made_fg,2,16:50,61,42,19,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,oreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,47,made_fg,2,16:50,61,42,19,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,made,1,,1,,,,,,,3,
2025-11-01,LA Valley,Home,48,made_fg,2,14:38,71,47,24,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,deflection,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,48,made_fg,2,14:38,71,47,24,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,,1,,,,,,,,2,
2025-11-01,LA Valley,Home,49,dreb,2,14:18,72,47,25,,#5 Tidiane Sy / #14 Jozef Zlocha / #24 Aeneas Grullon / #30 Clyde Seo / #31 Noah Cotton,shot,3pa,missed,,,,,,,,,,0,
