date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-19,Palomar,Home,def,58,made_fg,2,11:22,53,59,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #31 Noah Cotton,shot,2pa,made,1,1,,,,,,,,2,
2025-11-19,Palomar,Home,def,59,made_fg,2,11:22,53,59,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #31 Noah Cotton,shot,2pa,made,,1,,,,,,,,2,
2025-11-19,Palomar,Home,def,60,dreb,2,9:38,53,63,10,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,60,dreb,2,9:38,53,63,10,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,61,dreb,2,9:38,54,63,9,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,61,dreb,2,9:38,54,63,9,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,62,dreb,2,9:38,54,63,9,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,62,dreb,2,9:38,54,63,9,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,63,dreb,2,9:38,54,63,9,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,shot,2pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,63,dreb,2,9:38,54,63,9,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #5 Tidiane Sy / #20 Jake Field,dreb,,,,,,,,,,,,0,
